job_id,title,company,role_category,source,skill,skill_category
adzuna_5679555694,Sr. Analytical Insights Analyst,Clorox,Data Analyst,Adzuna,R,Programming
adzuna_5709635487,"Analyst, Analytics & Operations",CI Financial,Data Analyst,Adzuna,R,Programming
adzuna_5636447333,Digital Analytics Implementation Analyst (Data Science),The Globe and Mail,Data Analyst,Adzuna,Git,Tools
adzuna_5632235526,Analyst - Analytics Engineering - Toronto,Teragonia,Data Analyst,Adzuna,R,Programming
adzuna_5713522741,"Senior Analyst, Analytics & Insights",Klick Health,Data Analyst,Adzuna,R,Programming
adzuna_5696031169,"Senior Analyst, Analytics Enablement",PSP Investments,Data Analyst,Adzuna,R,Programming
adzuna_5672326665,Supply Analytics Senior Analyst (Hybrid/Toronto Based),Agoda,Data Analyst,Adzuna,R,Programming
adzuna_5708618560,"Analyst, Retention Analytics",McAfee,Data Analyst,Adzuna,R,Programming
adzuna_5721974619,"Analyst, Creative Analytics",Monks,Data Analyst,Adzuna,R,Programming
adzuna_5718165093,"Senior Analyst, Audience Analytics",Loblaw Companies,Data Analyst,Adzuna,R,Programming
adzuna_5687763036,"Senior Analyst, Marketing Analytics",Momentum Financial Services Group,Data Analyst,Adzuna,R,Programming
adzuna_5711177890,Senior Analyst - Enterprise Analytics,Fairstone Bank of Canada,Data Analyst,Adzuna,R,Programming
adzuna_5724569481,"Senior Analyst, Customer Analytics",Jobgether,Data Analyst,Adzuna,R,Programming
adzuna_5703336399,"Sr Analyst, Campaign Analytics",Insight Global,Data Analyst,Adzuna,R,Programming
adzuna_5723350554,"Senior Analyst, Customer Analytics",dentsu,Data Analyst,Adzuna,R,Programming
adzuna_5710654380,Analyst - Strategy and Analytics,Loblaw Companies Limited,Data Analyst,Adzuna,R,Programming
adzuna_5720029774,Commercial Analyst – Forecasting and Analytics,AbbVie,Data Analyst,Adzuna,R,Programming
adzuna_5720838230,Revenue Analytics and Reporting Analyst (Finance) (Telework/Hybrid),CBC/Radio-Canada,Data Analyst,Adzuna,R,Programming
adzuna_5726154638,Senior Analyst - Reporting and Analytics,Enercare Inc.,Data Analyst,Adzuna,R,Programming
adzuna_5722849314,Commercial Analyst - Forecasting and Analytics,AbbVie,Data Analyst,Adzuna,R,Programming
adzuna_5718122108,"Senior Analyst, Insights and Analytics",Loblaw Companies,Data Analyst,Adzuna,R,Programming
adzuna_5718140838,"Senior Analyst, Retail Cobrand Analytics",Royal Bank of Canada,Data Analyst,Adzuna,R,Programming
adzuna_5718175369,"Senior Analyst, Financial Insights & Analytics",Four Seasons,Data Analyst,Adzuna,R,Programming
adzuna_5648940403,Business Analyst -Financial Reporting & Analytics,AVEVA,Business Analyst,Adzuna,R,Programming
adzuna_5708660893,"Senior Analyst/Associate, Performance & Analytics",BCI Corporation,Data Analyst,Adzuna,R,Programming
adzuna_5726602476,Market Analytics and Business Intelligence (MABI) Analyst,AbbVie,BI Analyst,Adzuna,R,Programming
adzuna_5714823284,"Senior Analyst, Reporting & Analytics, Data Risk Management (4803)",TD Bank,Data Analyst,Adzuna,R,Programming
adzuna_5707675564,"Analyst, Constituent & Marketing Analytics (13 month contract)",Heart & Stroke,Data Analyst,Adzuna,R,Programming
adzuna_5717284582,"Senior Analyst, Business Insights And Analytics",Business Development Bank of Canada,Data Analyst,Adzuna,R,Programming
adzuna_5721987316,"Product Analyst, Data Platform and Analytics",Caseware,Data Analyst,Adzuna,R,Programming
adzuna_5711176492,"Senior Analyst, CS Strategy and Analytics",Themis Solutions,Data Analyst,Adzuna,R,Programming
adzuna_5724540968,"Senior Analyst, Macro Surveillance and Analytics",Financial Services Regulatory Authority of Ontario,Data Analyst,Adzuna,R,Programming
adzuna_5715689686,"Analyst II, Analytical Development - Biologics - Eurofins CDMO Alphora, Inc.",Eurofins Canada BioPharma,Data Analyst,Adzuna,R,Programming
adzuna_5714429400,"Analyst, Constituent & Marketing Analytics (13 month contract)",Heart & Stroke,Data Analyst,Adzuna,R,Programming
adzuna_5645813406,"Manager, BI & Analytics",Rogers Communications,Other,Adzuna,R,Programming
adzuna_5713938989,"Manager, BI & Analytics",Rogers,Other,Adzuna,R,Programming
adzuna_5712566992,"Molecular Biology Analyst II - Eurofins Experchem Laboratories, Inc.",Eurofins Canada Food testing,Data Analyst,Adzuna,R,Programming
adzuna_5680027427,Sr. Process Improvement Analyst,Rogers Communications,Data Analyst,Adzuna,R,Programming
adzuna_5720791215,Bilingual Business Analyst (French),Sodales Solutions,Business Analyst,Adzuna,R,Programming
adzuna_5720782069,"Senior Analyst, Compensation",IPEX,Data Analyst,Adzuna,R,Programming
adzuna_5711205277,Sr. Process Improvement Analyst,Rogers,Data Analyst,Adzuna,R,Programming
adzuna_5708966538,Analyst – Final Mile Delivery,RONA,Data Analyst,Adzuna,R,Programming
